name,vdom,status,type,snmp-index,alias,description,mtu-override,mtu,ip,allowaccess,dedicated-to,trust-ip-1,trust-ip-2,trust-ip-3,mode,interface,vlanid,role
port1,root,down,physical,1,,,,,,,,,,,,,,
port2,root,down,physical,2,,,,,,,,,,,,,,
port3,root,down,physical,3,,,,,,,,,,,,,,
port4,root,down,physical,4,,,,,,,,,,,,,,
port5,root,down,physical,5,,,,,,,,,,,,,,
port6,root,down,physical,6,,,,,,,,,,,,,,
port7,root,down,physical,7,,,,,,,,,,,,,,
port8,root,down,physical,8,,,,,,,,,,,,,,
port9,root,down,physical,9,,,,,,,,,,,,,,
port10,root,down,physical,10,,,,,,,,,,,,,,
port11,root,down,physical,11,,,,,,,,,,,,,,
port12,root,down,physical,12,,,,,,,,,,,,,,
port13,root,down,physical,13,,,,,,,,,,,,,,
port14,root,down,physical,14,,,,,,,,,,,,,,
port15,root,down,physical,15,,,,,,,,,,,,,,
port16,root,down,physical,16,,,,,,,,,,,,,,
port17,root,,physical,17,HA1,,,,,,,,,,,,,
port18,root,down,physical,18,,,,,,,,,,,,,,
port19,root,,physical,19,SESSION_SYNC1,,,,,,,,,,,,,
port20,root,down,physical,20,,,,,,,,,,,,,,
port21,root,,physical,21,CTNM901,,,,,,,,,,,,,
port22,root,down,physical,22,,,,,,,,,,,,,,
port23,root,down,physical,23,,,,,,,,,,,,,,
port24,root,down,physical,24,,,,,,,,,,,,,,
port25,root,down,physical,25,,,,,,,,,,,,,,
port26,root,,physical,26,HA2,,,,,,,,,,,,,
port27,root,down,physical,27,,,,,,,,,,,,,,
port28,root,,physical,28,SESSION_SYNC2,,,,,,,,,,,,,
port29,root,down,physical,29,,,,,,,,,,,,,,
port30,root,down,physical,30,,,,,,,,,,,,,,
port31,root,down,physical,31,,,,,,,,,,,,,,
port32,root,down,physical,32,,,,,,,,,,,,,,
port33,root,,physical,33,INTERNAL,"CONNECT TO CTSP901,02 xe-0/0/22:0 for INTERNAL",enable,9000,,,,,,,,,,
port34,root,down,physical,34,,,,,,,,,,,,,,
port35,root,down,physical,35,,,,,,,,,,,,,,
port36,root,down,physical,36,,,,,,,,,,,,,,
port37,root,down,physical,37,,,,,,,,,,,,,,
port38,root,,physical,38,EXTERNAL_HSN,"CONNECT TO CTSP901,02 xe-0/0/22:2 for HSN",enable,9000,,,,,,,,,,
port39,root,,physical,39,EXTERNAL,"CONNECT TO CTSP901,02 xe-0/0/22:1 for EXTERNAL",enable,9000,,,,,,,,,,
port40,root,down,physical,40,,,,,,,,,,,,,,
mgmt1,root,,physical,41,OOBMGT,,,,10.8.148.25 255.255.255.0,ping https ssh snmp fgfm,management,10.164.1.0 255.255.255.0,10.8.0.0 255.255.0.0,10.90.1.64 255.255.255.248,,,,
mgmt2,root,,physical,42,OOBMGT VIP,,,,10.8.148.31 255.255.255.0,ping https ssh snmp fgfm,,,,,,,,
modem,root,,physical,43,,,,,,,,,,,pppoe,,,
ssl.root,root,,tunnel,46,SSL VPN interface,,,,,,,,,,,,,
ssl.CT901TEST1,CT901TEST1,,tunnel,84,SSL VPN interface,,,,,,,,,,,,,
ssl.CT901NM,CT901NM,,tunnel,95,SSL VPN interface,,,,,,,,,,,,,
ssl.CT901CASH1,CT901CASH1,,tunnel,52,SSL VPN interface,,,,,,,,,,,,,
ssl.CT901HSN,CT901HSN,,tunnel,51,SSL VPN interface,,,,,,,,,,,,,
ssl.CT901SZMC1,CT901SZMC1,,tunnel,63,SSL VPN interface,,,,,,,,,,,,,
